event,text
fifa_final,FA Cup final in 2 hrs 15 mins!  #LFC #YNWA
fifa_final,wembley is reds ! #LFC #YNWA #FAcup @LFC_ID @luis16suarez @Dirk_18_Kuyt @glen_johnson @adidasfootball
fifa_final,Today is going awful sloooooooooow. Hurry up 5.15! #lfc
fifa_final,Lewis entering club wembley #Lfc http://t.co/SCRYWBbx
fifa_final,@OfficialSF1Team: Wishing all the best to @chelseafc in the   #FACupFinal @Wembley! Let's get the trophy!
fifa_final,Let's do this Chelsea. #CFC #KTBFFH #FACup #Finals
fifa_final,Victory is near than tomorrow #LFC #YNWA
fifa_final,@bluechampion: Remember folks! It's raining at Wembley! The boy from Spain loves the rain! Fernando to score today! #cfc @chelseafc
fifa_final,Jus passin wembley stadium! Good luck @LFC #ynwa
fifa_final,@HeidyCFC: I'm Buzzing !! #FACupFinal #CFCWembley Up the Chels
fifa_final,Are you ready for the final? Share your pics... #lfc
fifa_final,@thisisanfield: if the pre-match nerves are kicking in! #LFC #FACupFinal
fifa_final,Once a blue  always a blue! Up the blues! #CFC
fifa_final,@Jay_78_: #LFC Drogba banner again http://t.co/SoUP9VAN
fifa_final,Bet is on! 3-1 to #CFC
fifa_final,Liverpool fans banner for today's game http://t.co/A3t3Df3Z #FAcup #JFT96
fifa_final,the #FAcup to #LFC is like the PL to #MUFC
fifa_final,Great match from the #EPL as Arsenal tie 3 all with Norwich City at the Emirates Stadium! Now we wait for Chelsea vs Liverpool! #FACupFinal
fifa_final,Here's an Awesome #cfc #chelsea #chelseafc fan shared image on @fancite  http://t.co/ZTAgIMVi
fifa_final,“@henrywinter: Front of £10 #cfc v #lfc FA Cup final programme... Drogba v Skrtel http://t.co/aoy1oTDA” TN PNDS?! RBBNG GTS! @MirrorFootball
fifa_final,@bluechampion: Remember folks! It's raining at Wembley! The boy from Spain loves the rain! Fernando to score today! #cfc @chelseafc
fifa_final,@ESPNTVUK: 1: Ryan Giggs' goal against Arsenal #mufc #afc #facup
fifa_final,@redstrots: We love you Liverpool we do  We love you Liverpool we do  We love you Liverpool we do  oh Liverpool We love you #YNWA #LF ...
fifa_final,@ollyofficial you watching the game later? Who do u want to win? #lfc
fifa_final,Dreading work tonight #FACup correlates to a busy fucking shift. And I support #LFC so I can't watch it! Fuckkk
fifa_final,Poll 2 : if you wish to see maxi in the starting line up today #LFC
fifa_final,@stephendellow: Doesn't feel like cup final day  FA have ruined the importance and meaning of it #LetDown #CupFinal #FAcup
fifa_final,@saifuddinabd: Wah! "@Muhammad_Alias: Tonight: team @saifuddinabd vs team @IdrisJala_ #YNWA #FACupFinal"
fifa_final,So now full focus on the big game tonight! Hoping for some Suarez magic tonight! @LFC #YNWA
fifa_final,@umbro: To win signed Andy Carroll Speciali boots  just this message before the end of today's #FACup http://t.co/Mn4uSsn0
fifa_final,@LFC may the force be with you #Liverpool #LFC #FACup
fifa_final,Ready for the game #CFC v #LFC. C'MON YOU BLUES!!
fifa_final,@OfficialSF1Team: Wishing all the best to @chelseafc in the   #FACupFinal @Wembley! Let's get the trophy!
fifa_final,LIVERPOOL WILL WIN @hanhanjiejie_tm   #LFC vs chelsea tonight. YNWA!"
fifa_final,Ready teruuuuussss @BIGREDS_IOLSC: About 2 hours to go. Are you ready  lads &amp; lasses?! #FACupFinal #LFC #BIGREDS
fifa_final,Buzzing for the first drink with @Marc_Winfield and the football #FACup
fifa_final,@BenSmithBBC: If #LFC win the FA Cup today it would be Dalglish's 28th major honour at the club. #CFC have won 22 trophies in their h ...
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,#lfc #lfctv countdown to kick off live from anfield south
fifa_final,Back home for the holiday weekend to play golf and be pampered. Hope the pampering will take the form of wine  sleep and a thumping @lfc win
fifa_final,I wonder if Setanta and SBS will have the same commentary for #facupfinal #LFC #cfc
fifa_final,@Chelseafancite: Here's an Awesome #cfc #chelsea #chelseafc fan shared image on @fancite  http://t.co/ZTAgIMVi
fifa_final,Saints v.s Worcester Drinking Game before the #FACupFinal Drinking Game... Deffo gonna be Lionel! #Messy
fifa_final,@OfficialSF1Team: Wishing all the best to @chelseafc in the   #FACupFinal @Wembley! Let's get the trophy!
fifa_final,Getting The Double Cups Will Save Our Season....Come On Mighty Redzzz !! #LFC
fifa_final,@AVWestwick blue is the colour #cfc #
fifa_final,@Jay_78_: #LFC Drogba banner again http://t.co/SoUP9VAN
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,@johncrossmirror wether we deserved it or not was a clear pen on RVP  refs making simple mistakes that are costing millions of pounds
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,Getting nervous for the match!!! :s come on Liverpool!!! #LFC #YNWA
fifa_final,Gonna miss the #FACup finals today cuz I'm in church... #blueisthecolor #CFC
fifa_final,On the metropolitan line to Wembley and its full of Reds. #lfc #facupfinal
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,Finally sat down with vino ready for Cup Final #CFC
fifa_final,@ZIYAAD_LFC: From Maradona  with love! #YNWA #LFC http://t.co/mih6B5d0
fifa_final,I need  a volunteer to keep me posted on the FA cup final…#LFC all the way!
fifa_final,Cos u a #LFC fan. Dnt hate bro relate "@lanskyleone: Abeg make newcastle and tottenham go champs lge jor"
fifa_final,Its my wifes birthday and ive let her watch all the match build up since 8 o clock ..i know dont i spoil her and shes a lucky girl !! #LFC
fifa_final,Are ya chelsea or are ya liverpool? #facupfinal
fifa_final,@RebeccaFMusic Liverpool fans - You'll never walk alone: http://t.co/np6Uhxk9 via @youtube COME ON LIVERPOOL !!!!! @LFC
fifa_final,#cfc come on chelsea fa cup is rs . Love u 4 eva x
fifa_final,@DaveHughes05 @mickgelhardt @lfc who asked you ha ha behave or I'll send my mate @MikeTyson round to sort the pair of you out #thanksmikepal
fifa_final,@liverpool As our backers #LFC go for their dream today we go for ours PLEASE sign petition for debfibs are Key http://t.co/MgQl6zZZ RT
fifa_final,Whatever happens at this #FACupFinal you know Terry &amp; Suarez just gonna go to their rally after the match  pair of #cunts
fifa_final,On our way to #Wembley wearing our new #fresh suits #FACupFinal #COYB I can see a Chelsea win here!
fifa_final,Pub  lager   liquidator .....sweet ! #CFC  #CFCWembley  #FACupFinal
fifa_final,@GIGIpetite1: Happy #sexysaturday @ZOO_UK Thanks for the #LFC #gigibum RT! #zootwitties http://t.co/zqEz2dm3
fifa_final,@HirooNakamura @darrenarsenal1 that with a pinch of salt. I still think Eboue is good enough for us
fifa_final,Here we are  Cup Final Saturday. #Chelsea v. #Liverpool for the #FACup. COME ON CHELSEA! #CFC #KTBFFH
fifa_final,@BIGREDS_IOLSC: About 2 hours to go. Are you ready  lads &amp; lasses?! #FACupFinal #LFC #BIGREDS
fifa_final,finished work  goona settle down with my keg of heineken  it can only be the #facupfinal #comeonliverpool!!!
fifa_final,@DarrenArsenal1: That draw epitomises what's been wrong at #arsenal mediocrity reigns  a lax will to win  ... http://t.co/sUNdmfmS
fifa_final,@Sarahjamesm009: How on Earth did Bert Trautmann play on with a broken neck? Puts some of today's nancy boys to shame. #ESPN #FACup
fifa_final,Red Bull  Fry up  newspaper  Wembley  love it #FAcupfinal #CFC
fifa_final,15 mins till coverage starts! #FACupFinal
fifa_final,@bluechampion: Remember folks! It's raining at Wembley! The boy from Spain loves the rain! Fernando to score today! #cfc @chelseafc
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,FA cup final today. I wonder whether Terry and Suarez will swap white hoods after the game. #facupfinal
fifa_final,Shit club no history excitement buildin now in the house fa cup final come on red men #lfc #ynwa http://t.co/Z01GebDJ
fifa_final,Home for the footy. :) #facup
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,TOOOOO excited about the football! #LFC
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,Chelsea vs. Liverpool FA Cup final preview http://t.co/cAfwkvye #LFC #YNWA
fifa_final,This #facupfinal best not be shit
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,@dean_neeyo @blatinwo m sure @chelseafc would be smiling... Not only do dey have the chance to win the UCL.. They can also kick Arsenal OUT
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,@chelseafc: Send us your pics of the day using #CFCWembley and we'll our faves as always. #FACupFinal (SL)
fifa_final,@LFC good luck in the final today. I'm from Chile and I the number one Liverpool's fan here. I'll never walk alone :-)  Us can do it!!!
fifa_final,I'm there! @JamieDalton82: Bonfire at mine tonight. Bring your Delia cookbooks - we can make a start on that lasagne as well.
fifa_final,Suppose I should leave the pub and start making to #Wembley   Come on the #Chelsea   #KTBFFH
fifa_final,DI MATTEO: BOUNCING BACK #CFC http://t.co/SPsefyLG
fifa_final,@mrdreamcatcha: 7 500 and more...and still counting #CFC all the way! @EASPORTSFIFA Retweet if you want Chelsea to win the FA Cup  ...
fifa_final,@chelseafc Win or lose today  I'm still proud of yall  even after a terrible season  still managed to reach 2 finals #CFC
fifa_final,Right  the twits are having a nap (well they're in their cots). Time for a bit of the #Giro then the build up to #FaCup
fifa_final,@skynews is live at #wembley for the #facupfinal. Jimmy Tarbuck on the TV in 10 mins! #lfc #cfc http://t.co/LPjPLunN
fifa_final,2 hours till hopefully i see my CAPTAIN FANTASTIC lifting the cup ! #LFC !
fifa_final,#ynwa !!! @liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,2hours 15mins to kick off! #LFC
fifa_final,Siiiaaappp @BIGREDS_IOLSC: About 2 hours to go. Are you ready  lads &amp; lasses?! #FACupFinal #LFC #BIGREDS
fifa_final,@Supergossi with @chelseafc 's Jason Cundy &amp; Frank Sinclair... come on you Blues!!
fifa_final,2 more hours in singapore for the final and hopefully + 90min to lift the cup @LFC @Dirk_18_Kuyt @glen_johnson @LucasLeiva87 @luis16suarez
fifa_final,@Redsmail: Come on ye Reds #LFC http://t.co/CHxk5xSI
fifa_final,John Terry first and last goalscorer. Liverpool to win on penalties. #punt #FACupFinal #JamieTipster
fifa_final,waitting CHELSEA vs LIVERPOOL #FAcup
fifa_final,come on liverpoooool  hopefully smash the rentboys up!!! #LFC #YNWA
fifa_final,A little over 2 hours till ko in the #FACupFinal - pre final nerves kicking in something Moyes and the rabble that follow #EFC ever suffer.
fifa_final,It's 3pm on Cup Final Day. But where is the Cup Final? #LFC #CFC #FACupFinal
fifa_final,@chelseafc: Seems to be drying out in NW London. Fingers crossed! #CFCWembley #FACupFinal (SL)
fifa_final,Well  I'm going to sing Abide With Me now  even if nobody else is. Who's with me? One...two...three... #tradition #facup
fifa_final,@JamieDalton82 Do you think Kos-Verm works as a CB pairing? Personally I  don't...
fifa_final,#facup WTF!!! Is that this for real?   #WhatToDo http://t.co/r4hsvSjp
fifa_final,@adidasUK: * @ChelseaFC fans *... Ahead of the all-adidas #FACUP final  can you #takethestage? this tweet more than the Liverpool  ...
fifa_final,@bluechampion: Remember folks! It's raining at Wembley! The boy from Spain loves the rain! Fernando to score today! #cfc @chelseafc
fifa_final,Just watched Thor. Only Captain America to go. Avengers will have to wait til tomorrow night. Gonna check out the competition in #facupfinal
fifa_final,Train full of scousers and my home town all Liverpool pubs. #WTF #CFC
fifa_final,Absolutely !! @BIGREDS_IOLSC: About 2 hours to go. Are you ready  lads &amp; lasses?! #FACupFinal #LFC #BIGREDS
fifa_final,Looking forward to the game today. Come on #Chelsea #cfc
fifa_final,@SyaukiAzim: Liverpool #YNWA #LFC !
fifa_final,Dan Bloom @dBsoccernet is LIVE on @SiriusXMSoccer S92 X207 talking the beautiful game @Arsenal @NorwichCityFC @chelseafc @LiverpoolFC.
fifa_final,Coverage starts at 3.15. Therefore  only 15 minutes until the final! #LFC #YNWA
fifa_final,@Cussen_1991 Not gonna make the Warradale mate. Had a change of plans. Enjoy if you watch the game there. #FACup #LFC #YNWA
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,Come on lads! @LFC all the way! #YNWA
fifa_final,@sarkyfecker get on it I'm feeling much better for 3 pints of Peroni #lfc
fifa_final,@CraigMills92: Excited for the #FACup final. Come on #LFC
fifa_final,“@ez_oppa: we won 3 fa cup in last 5 years.. #cfc”
fifa_final,@fadodc #FACupFinal LIVE at 12pm - come watch with us! #Liverpool #Chelsea http://t.co/oU9youxL
fifa_final,@MattLawExpress no he did not - shows why u write for a crap paper
fifa_final,@sarmad0201: this if you wish to see carroll starting for LFC today ... #LFC
fifa_final,@BIGREDS_IOLSC: About 2 hours to go. Are you ready  lads &amp; lasses?! #FACupFinal #LFC #BIGREDS
fifa_final,@AshpTaylor @chelseafc @HJWestle Pipe down ash! Hannah will be drowning her sorrows tonight and I'll no doubt be celebrating ;) #cfc
fifa_final,@chelseafc: Send us your pics of the day using #CFCWembley and we'll our faves as always. #FACupFinal (SL)
fifa_final,Bring home the cup @chelseafc ! Good luck
fifa_final,So excited  I hope Torres scores #CFCWembley! Can't wait #elniño
fifa_final,Time is going so slow!!! Can't wait for the #FACupFinal! Come one Reds! #LFC
fifa_final,waitin for CHELSEA - LIVERPOOL Today :) #CFC
fifa_final,#FACup final today! C'mon Reds #LFC
fifa_final,@CaroWozniacki are you ready for the BIG game? Hope we can show them who's boss today #LFC #YNWA
fifa_final,2 hours to go #FaCupFinal #LFC #CFC
fifa_final,@chelseafc must win on the final of FA CUP :D #FinalFACup #ChelseaFC
fifa_final,@Jay_78_: #LFC Drogba banner again http://t.co/SoUP9VAN
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,The last three times Lfc beat Everton on semi final  Lfc went on to lose all three (1950 71 77) #LFC #EVE #CFC
fifa_final,This is Anfield Malaysia! #RedsLegacy #YRMY #YNWA #LFC http://t.co/XfUiT4gR
fifa_final,@jojosuherman: *degdegdeg* :| @BIGREDS_IOLSC: About 2 hours to go. Are you ready  lads &amp; lasses?! #FACupFinal #LFC #BIGREDS
fifa_final,@Jay_78_: #LFC Drogba banner again http://t.co/SoUP9VAN
fifa_final,RT"@chelseafc: RT"@Torres: support us :) @chelseafc @wilberthoward: Chelsea-liverpool ambe mana? (‾⌣‾)
fifa_final,If u ♥ love ur club  show ur logo daa daa! *dancing* #cfc
fifa_final,Do Chelsea fans really need plastic flags to create atmosphere and stickers to create rivalry? No history  no class. #LFC #CFC #FACupFinal
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,3 hours before KO #CFCWembley http://t.co/ts5C5BcM
fifa_final,Curry is on  gonna get a few tinnies and watch 2 great inconsistant teams  should be a good game #facupfinal
fifa_final,@fadophilly #FACupFinal LIVE at 12pm - come watch with us! #Liverpool #Chelsea http://t.co/YLmipkrC
fifa_final,A few games of PES on the PS3 before heading out for the match! #lfc
fifa_final,@Jay_78_: #LFC Drogba banner again http://t.co/SoUP9VAN
fifa_final,@thefadotcom: The FA will donate £1 for every #FACup Final match programme sold to the charity Cardiac Risk in the Young (@CRY_UK)htt ...
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,@Jay_78_: #LFC Drogba banner again http://t.co/SoUP9VAN
fifa_final,Dear Jackie. That goal was far from scrappy. Was a very well worked goal. Dry your eyes. Yours  me. #icf #lfc
fifa_final,@fadoatlanta #FACupFinal LIVE at 12pm - come watch with us! #Liverpool #Chelsea http://t.co/p6HagxEj
fifa_final,Right time for cup final build up! Come on Liverpool!!! #LFC
fifa_final,@chelseafc Good luck boys. We need it !!!!!
fifa_final,@BIGREDS_IOLSC: About 2 hours to go. Are you ready  lads &amp; lasses?! #FACupFinal #LFC #BIGREDS
fifa_final,@chelseafc go blues!! #cfc http://t.co/PMyo4kYo
fifa_final,AUTO champions league ticket without playoff #UCL#FAcupfinal#cfc. May 19th sure date
fifa_final,Wem8ley #YNWA @LFC  @Liverpool_Indo @BIGREDS_IOLSC
fifa_final,@SkyBet what's odds on a Torres hat trick? #facup
fifa_final,@chelseafc: Agreement reached to sign German international Marko Marin:  http://t.co/wTVOFrUA  #CFC (SL)
fifa_final,On route 2 the pub come on liverpool #facup
fifa_final,Big day for @LFC. Good luck to the lads!
fifa_final,@chelseafc: Send us your pics of the day using #CFCWembley and we'll our faves as always. #FACupFinal (SL)
fifa_final,#cfc Haha.  Caught in the act!  #Boredom http://t.co/r4hsvSjp
fifa_final,@cass006 @richardshimmy @JuzyBatt Well the game was obviously showing in Australia. Are you staying up for the #facupfinal?
fifa_final,Let's do it tonight! #CFC
fifa_final,I am ready! #facupfinal #LFC #YNWA http://t.co/pBUVToaY
fifa_final,Ah  15:00. Perfect  natural time to settle down and watch a nice  traditional game of footb... oh #FACup
fifa_final,i'm ready for the final #LFC
fifa_final,@OlivePressLpool: We're open &amp; will be football free if you wish to avoid it.  I won't be in  I'll be singing!  #lfc  #ynwa #We'r ...
fifa_final,my tip of the day - Fernando Torres to come up trumps for #cfc today
fifa_final,I will be watching FA Cup while on holiday. Doesn't matter where you cheer from  doesn't matter where you are - KTBFFH !! #CFC #FACup
fifa_final,@Rob_Emanuel @ollymassey84 @rpcm91 just hope Chelsea don't win the CL final  4th spot looking tense now. Think gerrard is key for #LFC win
fifa_final,@thefadotcom: Stats in today's #FACupFinal match programme are provided by @OptaJoe - This will be the 31st meeting between #CFC &amp ...
fifa_final,@chelseafc: It's #FACupFinal day  and is there a better feeling than another #CFCWembley day? Feeling confident Blues fans? (SL)
fifa_final,Liverpool-Chelsea Head-to-head: #LFC Wins: 73. #CFC Wins: 56. 33 Draws.
fifa_final,Chelsea v Liverpool   mon you blues #CFC
fifa_final,@FauzziiMaulana: go chelsea @ChelseaUnite: TONIGHT!!! FINAL #FAcup Chelsea v Liverpool KO 23:15 WIB! LIVE at MNCtv/ESPN! We're gon ...
fifa_final,All chelsea fans  let's support our team in this crucial FA Cup final!! #CFCWembley
fifa_final,Liverpool Is are religion  Anfield is our church!' @LFC
fifa_final,@fadoaustin #FACupFinal LIVE today at 11am - come watch with us! #Liverpool #Chelsea http://t.co/GwH7lgJY
fifa_final,Olenu"@aykemoorexxx: Getting ready for the finals!!! Let's get this boys cc @chelseafc http://t.co/27mCdOZI"
fifa_final,If #LFC win the FA Cup today it would be Dalglish's 28th major honour at the club. #CFC have won 22 trophies in... http://t.co/JDvsZIqA
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,If you want to feel buzz then watch some Lfc video on the Youtube. Worth it. #lfc
fifa_final,It's nearly time......!!!!! Suddenly feeling nervous 😳 #LFC #LFCTwitterFam #LFCvCFC
fifa_final,@henrywinter: Front of £10 #cfc v #lfc FA Cup final programme... Drogba v Skrtel http://t.co/IPmVr5i9
fifa_final,@CFCchants: Frank Lampard = The General (You got to salute him soldier)! #CFC
fifa_final,I still hate Loserpool more then Man shitty! Come on Chelsea make my weekend start off well :D #cfc
fifa_final,@DamianaMarley: waitin for CHELSEA - LIVERPOOL Today :) #CFC
fifa_final,@aidanwyliemcc Liverpool fans - You'll never walk alone: http://t.co/np6Uhxk9 via @youtube COME ON LIVERPOOL !!!!! @LFC
fifa_final,@omino_joel @Ongorroh @arsenal @CarolRadull @SamOhanga @True_Gooner10 @fmuamba #MCFC wins the league and #CFC wins the FA and #champsleague
fifa_final,Cup Final should b good. Loads of goals please ;)))) #facup
fifa_final,big day for the mighty #cfc. we need to win today! don't we all want el nino to get the winning goal?! #KTBFFH
fifa_final,Full details of today's FA Cup final coverage on ESPN  ITV and Sky 3D #facup http://t.co/v6epazhT
fifa_final,Latest Work - A5 Flyer Posted this as it took a while cutting around footballers individually and as Im a @LFC fan http://t.co/VY8jcIlN
fifa_final,@bluechampion: Remember folks! It's raining at Wembley! The boy from Spain loves the rain! Fernando to score today! #cfc @chelseafc
fifa_final,@ChelseaUnite: TONIGHT!!! FINAL #FAcup Chelsea v Liverpool KO 23:15 WIB! LIVE at MNCtv/ESPN! We're gonna make this a BLUE DAY! #CU
fifa_final,@timlovejoy: Oh well at least all us oldies have great memories of the country stopping for cup final day. #FACup
fifa_final,@MarkMoraghan As our backers #LFC go for their dream today we go for ours PLEASE sign petition for debfibs are Key http://t.co/MgQl6zZZ RT
fifa_final,THE CUP FINAL DAY INTERVIEW: FRANK LAMPARD #CFC http://t.co/wGcWt9tb
fifa_final,Chelsea vs Liverpool  don't miss it! #FACup 23:15
fifa_final,Come on you red men do us all proud #lfc #facupfinal
fifa_final,Could care less who wins out of Liverpool and Chelsea... #FACupFinal
fifa_final,@CMcEachran: @HBTNoles looks like I'm going to hit up @TomahawkTally for the #cfc #lfc #FACup final  should be a decent group there
fifa_final,@metzz131: My love towards #ChelseaFC is uncountable. This feeling will never change. #CFC #KTBFFH
fifa_final,Win or lose  I'm proud of my team! #liverpoolfc #ynwa @LFC
fifa_final,Nervous #LFC
fifa_final,@chelseafc: It's #FACupFinal day  and is there a better feeling than another #CFCWembley day? Feeling confident Blues fans? (SL)
fifa_final,Drogba goes down more than Terry's ma #lfc #cfc
fifa_final,“@PPOffers: Sssst.Listen! Liverpool to lift the FA CUP 3/1!! http://t.co/AkIp2pY4 #PRICEGASM #LFC” WOW. Tempting odds.
fifa_final,down here nice an early but it's raining in LDN  guess we'll have to go the bar then. #prematchboozer #lfc
fifa_final,My best wishes to @chelseafc for the #FACupFinal against @LFC.
fifa_final,FA Cup day #LFC #YNWA
fifa_final,Come on Liverpool:D #FAcupfinal
fifa_final,Chelsea fans can join the Chelsea live match chat just before kick off here - http://t.co/IJwMD2rg #CFC @chelseafc
fifa_final,Not keen on this later kick off for the #FAcup.
fifa_final,2hours till the big game come on you reds #ynwa @LFC
fifa_final,@Jay_78_: #LFC Drogba banner again http://t.co/SoUP9VAN
fifa_final,Form is Temporary  Class is Permanent=@LFC let's bring home the FA Cup and make it a season to remember! #YNWA #RedMen
fifa_final,Let's Go Get This Cup Baby #CFC
fifa_final,Looking forward to some class build to the #FACupFinal oh...It's on ITV
fifa_final,@chelseafc: Send us your pics of the day using #CFCWembley and we'll our faves as always. #FACupFinal (SL)
fifa_final,@WoodFloorClean: If you spill your beer celebrating a goal clean it up! http://t.co/8T66oliR 10% OFF with code "facup" #LFC #CFC #biz ...
fifa_final,@vincent_agan Hearts at risk are so many #CFC #AFC #THFC#NCFC#MCFC#MUFC. Some fans are suicidal let's be on the lookout and #SAVEALIFE
fifa_final,2 more hours till the #FACupFinal... So nervous! #LFC
fifa_final,@liverpool: Are you ready for the final? Share your pics... #lfc
fifa_final,Doesn't seem right. Cup final day and KO isn't until 5:15pm. To top it off  it's on bloody ITV. #facup #worstsportscoverageintheworld
fifa_final,@CFCStuff: Chelsea have won all 6 FA Cup matches played at the new Wembley Stadium. #CFC
fifa_final,Bleau is the color!!! Goooo chelsea from ECU @chelseafc
fifa_final,cannot concentrate for a second longer. Work away  shirt on  tele on  nerves going  i love football! #lfc
fifa_final,@chelsea4girls: @chelseafc #CFCWembley cup of Chelsea tea before kick off! http://t.co/8UWDQEM6
fifa_final,#lfc about 2 hours left time is going super slow now hurry up lol
fifa_final,@DStv: Who will leave the Wembley Stadium #FACup Champions? Chelsea vs Liverpool on SS3 from 17:00 http://t.co/MHxXZ5MV
fifa_final,quietly confident we can dick the blue scum #LFC
fifa_final,I see Gigi Salmon on #CTV has discarded that hideous dual #CFC / #lfc scarf. she was adorning earlier. What on earth was she thinking ?
fifa_final,Just realised I don't have ESPN and will have to put up with Adrian Chiles on ITV! Mute button will be in use! #FACup
fifa_final,@MattLawExpress Worth a try #NUFC
fifa_final,@chelsea4girls 2 girlies in pub a mile from wembley. This is where we will stay next to the open fire while the boys sit in the cold #cfc
fifa_final,tried to forget about it but the stomachs just gone #FAcupfinal #LFC
fifa_final,@imKHOOLikethat whoaa hooo~ #LFC   you guys will walk alone  hahahaa
fifa_final,@chelsea4girls: @chelseafc #CFCWembley cup of Chelsea tea before kick off! http://t.co/8UWDQEM6
fifa_final,@AliAlhabsi: Big cup final today! Chelsea vs Liverpool  I wish good luck to both teams and I'm sure it will be a great game #LFC #CFC
fifa_final,@MenOfShankly: To #CFC you have won 22 trophies in your history. Kenny has won 28 alone.
fifa_final,Come on chelsea beat liverpool I hope liverpool get hammered #facup
fifa_final,Wait Chelsea vs Liverpool #FAcupFinal
fifa_final,"@LFC: The rain is falling in London but it hasn't dampened Liverpudlian spirits outside the national stadium as red easily outnumbers blue"
fifa_final,@Danny_Razz as soon as it touched the tongue! Legion if u fancy? #facup
fifa_final,@johncrossmirror be more concerned  and fight  when he comes. he is too lazy
